UserId,SessionId,ArticleID Served,Article Rank,Click,Time Spent (seconds)
1,1,3793,1,False,0
1,1,3324,2,True,60
1,1,1035,3,True,51
1,1,1551,4,False,0
1,1,2568,5,True,10
1,1,1926,6,False,0
1,1,3210,7,False,0
1,1,760,8,False,0
1,1,319,9,True,81
1,1,565,10,True,86
1,2,4261,1,True,19
1,2,329,2,False,0
1,2,2584,3,False,0
1,2,3461,4,True,85
1,2,3487,5,False,0
1,2,3126,6,False,0
1,2,133,7,False,0
1,2,2618,8,True,61
1,2,4200,9,False,0
1,2,3839,10,False,0
2,1,3249,1,True,12
2,1,4362,2,True,81
2,1,148,3,True,33
2,1,129,4,True,52
2,1,1749,5,False,0
2,1,4808,6,False,0
2,1,3952,7,False,0
2,1,2241,8,False,0
2,1,1033,9,False,0
2,1,2828,10,False,0
2,2,400,1,True,63
2,2,1626,2,True,28
2,2,4378,3,True,21
2,2,2653,4,True,19
2,2,670,5,False,0
2,2,2800,6,False,0
2,2,3295,7,False,0
2,2,3492,8,True,12
2,2,2089,9,True,49
2,2,1213,10,True,96
2,3,503,1,True,73
2,3,369,2,False,0
2,3,4175,3,True,36
2,3,1931,4,False,0
2,3,1167,5,True,82
2,3,104,6,False,0
2,3,1354,7,True,55
2,3,3569,8,True,13
2,3,2553,9,False,0
2,3,819,10,False,0
3,1,914,1,False,0
3,1,608,2,True,34
3,1,2602,3,True,51
3,1,3357,4,False,0
3,1,3686,5,False,0
3,1,4290,6,False,0
3,1,3598,7,False,0
3,1,3156,8,False,0
3,1,1718,9,True,52
3,1,537,10,False,0
3,2,1349,1,True,89
3,2,3626,2,False,0
3,2,796,3,True,76
3,2,2890,4,False,0
3,2,1089,5,False,0
3,2,421,6,False,0
3,2,3895,7,False,0
3,2,1184,8,False,0
3,2,1676,9,False,0
3,2,567,10,True,60
3,3,1906,1,False,0
3,3,4714,2,False,0
3,3,4381,3,False,0
3,3,2729,4,False,0
3,3,94,5,True,85
3,3,2272,6,True,90
3,3,1138,7,False,0
3,3,985,8,True,92
3,3,3792,9,True,40
3,3,473,10,False,0
3,4,2098,1,False,0
3,4,81,2,True,20
3,4,1033,3,True,98
3,4,3675,4,True,18
3,4,4504,5,False,0
3,4,4782,6,False,0
3,4,4178,7,False,0
3,4,3785,8,True,59
3,4,919,9,True,32
3,4,4468,10,False,0
4,1,2025,1,True,95
4,1,2552,2,False,0
4,1,2106,3,True,58
4,1,2204,4,True,74
4,1,233,5,False,0
4,1,4405,6,False,0
4,1,3604,7,False,0
4,1,409,8,False,0
4,1,3755,9,True,49
4,1,2865,10,False,0
5,1,3988,1,False,0
5,1,3448,2,True,48
5,1,1322,3,True,28
5,1,4241,4,True,78
5,1,4501,5,True,18
5,1,1068,6,False,0
5,1,4432,7,True,67
5,1,4515,8,True,48
5,1,233,9,True,61
5,1,2203,10,True,20
6,1,675,1,True,63
6,1,1806,2,True,16
6,1,3189,3,False,0
6,1,1696,4,True,21
6,1,1795,5,False,0
6,1,4049,6,True,68
